id;name;province;updated;eligible;turnout;turnout percentage;votes for;votes against;none of the above;percentage for;percentage against;percentage NOTA
293;Westervoort;GE;2018-03-22 07:47:02;11915;5869;49.3;2661;3003;205;51.3;45.4;3.3
678;Kapelle;ZE;2018-03-22 08:16:26;9562;6254;65.4;3627;2378;249;38.1;58.2;3.7
141;Almelo;OV;2018-03-22 08:06:07;54804;26345;48.1;12154;13127;1064;50.0;46.3;3.7
225;Druten;GE;2018-03-22 07:47:13;14750;8093;54.9;4014;3614;465;44.7;49.7;5.6
777;Etten-Leur;NB;2018-03-22 07:46:35;33170;18430;55.6;8114;9612;704;52.3;44.2;3.5
1883;Sittard-Geleen;LI;2018-03-22 07:46:52;74854;38313;51.2;17138;19247;1928;50.4;44.9;4.7
983;Venlo;LI;2018-03-22 08:02:26;75890;36454;48.0;17554;17297;1603;47.6;48.3;4.1
450;Uitgeest;NH;2018-03-22 07:47:07;10386;6505;62.6;3302;2959;244;45.6;50.9;3.5
1724;Bergeijk;NB;2018-03-22 00:24:22;14463;8231;56.9;4542;3186;503;38.8;55.3;5.9
384;Diemen;NH;2018-03-22 00:26:05;20226;10454;51.7;3733;6281;440;60.2;35.8;4.0
479;Zaanstad;NH;2018-03-22 07:46:42;114278;58845;51.5;24069;32560;2216;55.6;41.1;3.3
1942;Gooise Meren;NH;2018-03-22 07:46:46;43801;25520;58.3;12786;11653;1081;45.8;50.3;3.9
164;Hengelo;OV;2018-03-22 07:46:56;62396;33836;54.2;14710;18019;1107;53.4;43.6;3.0
310;De Bilt;UT;2018-03-22 01:16:00;32872;20732;63.1;10084;9672;976;46.8;48.8;4.4
1955;Montferland;GE;2018-03-22 08:10:10;28574;14878;52.1;7405;6686;787;45.1;49.9;5.0
177;Raalte;OV;2018-03-22 01:06:29;29357;17292;58.9;9551;6715;1026;38.9;55.3;5.8
98;Weststellingwerf;FR;2018-03-22 01:06:20;20562;10811;52.6;5187;5125;499;47.6;48.2;4.2
1895;Oldambt;GR;2018-03-22 01:10:13;30711;14671;47.8;5777;8316;578;56.9;39.5;3.6
858;Valkenswaard;NB;2018-03-22 01:13:53;24648;12423;50.4;6386;5442;595;43.9;51.5;4.6
1708;Steenwijkerland;OV;2018-03-22 00:57:56;34276;19234;56.1;9782;8650;802;45.1;51.0;3.9
796;Den Bosch;NB;2018-03-22 00:58:13;118682;59805;50.4;27238;29771;2796;50.0;45.7;4.3
400;Den Helder;NH;2018-03-22 01:10:44;44316;20983;47.3;10396;9985;602;47.7;49.7;2.6
1940;De Fryske Marren;FR;2018-03-22 00:56:26;40084;22260;55.5;11019;10349;892;46.6;49.6;3.8
439;Purmerend;NH;2018-03-22 01:13:02;62328;29875;47.9;13048;15870;957;53.4;43.9;2.7
59;Achtkarspelen;FR;2018-03-22 01:10:01;21512;11192;52.0;5288;5438;466;48.7;47.4;3.9
1884;Kaag en Braassem;ZH;2018-03-22 01:06:09;20661;11546;55.9;5973;5080;493;44.2;51.9;3.9
668;West Maas en Waal;GE;2018-03-22 01:13:09;15074;9132;60.6;4686;3939;507;43.3;51.5;5.2
1892;Zuidplas;ZH;2018-03-22 01:10:22;31892;17583;55.1;9481;7349;753;41.8;53.9;4.3
363;Amsterdam;NH;2018-03-23 11:00:59;585445;320357;54.7;98628;204795;16934;64.2;30.9;4.9
233;Ermelo;GE;2018-03-22 00:56:34;21030;12870;61.2;6838;5414;618;42.2;53.3;4.5
222;Doetinchem;GE;2018-03-22 11:25:07;45029;22048;49.0;10227;10719;1102;48.8;46.5;4.7
482;Alblasserdam;ZH;2018-03-22 14:53:40;14840;8397;56.6;4660;3408;329;40.7;55.7;3.6
797;Heusden;NB;2018-03-22 00:58:24;33760;17197;50.9;9093;7377;727;43.1;53.1;3.8
603;Rijswijk;ZH;2018-03-22 14:45:35;39023;20057;51.4;9461;9789;807;48.9;47.3;3.8
505;Dordrecht;ZH;2018-03-22 16:08:06;89080;44901;50.4;20005;23056;1840;51.5;44.7;3.8
1581;Utrechtse Heuvelrug;UT;2018-03-22 00:58:01;38192;23166;60.7;11702;10468;996;45.3;50.7;4.0
715;Terneuzen;ZE;2018-03-22 12:01:12;40315;20818;51.6;10580;9375;863;45.2;51.0;3.8
610;Sliedrecht;ZH;2018-03-22 16:08:00;18930;10822;57.2;5734;4664;424;43.2;53.2;3.6
396;Heemskerk;NH;2018-03-22 13:00:23;30499;15173;49.7;7184;7424;565;49.0;47.5;3.5
274;Renkum;GE;2018-03-22 14:17:53;24892;14792;59.4;6714;7335;743;49.8;45.6;4.6
263;Maasdriel;GE;2018-03-22 11:29:41;18391;10237;55.7;5250;4485;502;43.9;51.4;4.7
